No.,Fable Title,Moral
2,The Frogs & the Ox,Do not attempt the impossible.
3,Belling the Cat,"It is one thing to say that something should be done, but quite a different matter to do it."
4,The Town Mouse & the Country Mouse,Poverty with security is better than plenty in the midst of fear and uncertainty.
5,The Fox & the Grapes,There are many who pretend to despise and belittle that which is beyond their reach.
6,The Wolf & the Crane,Expect no reward for serving the wicked.
7,The Lion & the Mouse,A kindness is never wasted.
8,The Gnat & the Bull,We are often of greater importance in our own eyes than in the eyes of our neighbor. The smaller the mind the greater the conceit.
9,The Plane Tree,Our best blessings are often the least appreciated.
10,The Owl & the Grasshopper,Flattery is not a proof of true admiration. Do not let flattery throw you off your guard against an enemy.
11,The Oak & the Reeds,"Better to yield when it is folly to resist, than to resist stubbornly and be destroyed."
12,The Crow & the Pitcher,In a pinch a good use of our wits may help us out.
13,The Two Goats,It is better to yield than to come to misfortune through stubbornness.
14,The Wild Boar & the Fox,Preparedness for war is the best guarantee of peace.
15,The Heron,Do not be too hard to suit or you may have to be content with the worst or with nothing at all.
16,The Fox & the Stork,Do not play tricks on your neighbors unless you can stand the same treatment yourself.
17,The Stag & His Reflection,We often make much of the ornamental and despise the useful.
18,The Cock & the Fox,The trickster is easily tricked.
19,The Fox & the Goat,Look before you leap.
20,The Fox & the Leopard,A fine coat is not always an indication of an attractive mind.
21,The Frog & the Mouse,Those who seek to harm others often come to harm themselves through their own deceit.
22,The Wolf in Sheep's Clothing,The evil doer often comes to harm through his own deceit.
23,The Eagle & the Beetle,Even the weakest may find means to avenge a wrong.
24,The Mother & the Wolf,Do not believe everything you hear.
25,The Hare & the Tortoise,The race is not always to the swift.
26,The Dog & His Reflection,It is very foolish to be greedy.
27,The Fox & the Crow,The flatterer lives at the expense of those who will listen to him.
28,The Ant & the Dove,A kindness is never wasted.
29,The Man & the Satyr,The man who talks for both sides is not to be trusted by either.
30,The Hare & His Ears,Do not give your enemies the slightest reason to attack your reputation. Your enemies will seize any excuse to attack you.
31,The Fisherman & the Little Fish,A small gain is worth more than a large promise.
32,The Wolf & the Kid,Do not let anything turn you from your purpose.
33,The Tortoise & the Ducks,Foolish curiosity and vanity often lead to misfortune.
34,The Young Crab & His Mother,Do not tell others how to act unless you can set a good example.
35,"The Dog, the Cock, & the Fox",Those who try to deceive may expect to be paid in their own coin.
36,The Eagle & the Jackdaw,Do not let your vanity make you overestimate your powers.
37,The Boy & the Filberts,Do not attempt too much at once.
38,Hercules & the Wagoner,Self help is the best help.Heaven helps those who help themselves.
39,The Kid & the Wolf,Do not say anything at any time that you would not say at all times.
40,The Bundle of Sticks,In unity is strength.
41,The Ass & His Driver,"They who will not listen to reason but stubbornly go their own way against the friendly advice of those who are wiser than they, are on the road to misfortune."
42,The Oxen & the Wheels,They complain most who suffer least.
43,The Shepherd Boy & the Wolf,Liars are not believed even when they speak the truth.
44,The Farmer & the Stork,You are judged by the company you keep.
45,The Sheep & the Pig,It is easy to be brave when there is no danger.
46,The Travelers & the Purse,We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.
47,The Lion & the Ass,Do not resent the remarks of a fool. Ignore them.
48,The Frogs Who Wished for a King,Be sure you can better your condition before you seek to change.
49,The Wolf & His Shadow,Do not let your fancy make you forget realities.
50,The Rat & the Elephant,A resemblance to the great in some things does not make us great.
51,The Boys & the Frogs,Always stop to think whether your fun may not be the cause of another's unhappiness.
52,The Ants & the Grasshopper,There's a time for work and a time for play.
53,The Ass Carrying the Image,Do not try to take the credit to yourself that is due to others.
